zimmerman	262907
love	262799
meyers	262356
conner	262145
sherman	262028
mcguire	261502
mcclure	260184
davenport	260043
atkins	259959
snow	258957
ingram	258952
frost	258571
schultz	258261
norman	256583
chamberlain	256082
harding	256003
shaffer	255585
mclaughlin	255489
wilkins	253537
mcmillan	253329
bass	252877
maxwell	252680
kemp	252347
wyatt	252011
mcbride	250849
ayers	250354
william	250341
huffman	249390
walsh	248781
mclean	248747
crane	246973
buck	246097
jensen	246085
bradford	245878
bean	245320
carey	243796
stuart	243721
york	242945
macdonald	242580
kirk	242532
blackburn	242380
holloway	242340
schneider	242098
glover	241622
leach	241540
gould	241451
cline	241031
hobbs	240820
gates	240637
field	240619
kerr	240298
hull	240199
hood	240125
weeks	239992
hardin	239788
mccarthy	238871
reese	238838
snider	238684
moon	237663
bridges	237112
fitzgerald	236682
douglass	235741
preston	235401
whitehead	235241
hoover	234989
lyon	234853
sawyer	233971
haines	233960
bentley	232989
tyler	232552
avery	232471
mitchel	232120
massey	231917
pennington	231818
morrow	231739
elliot	231533
browning	230186
cameron	229624
dickinson	229613
mckay	227785
stokes	227626
savage	227581
dalton	227035
becker	226487
hewitt	226374
hurst	226351
mcconnell	225954
combs	225900
case	225822
mccarty	224793
garrison	224365
copeland	224343
mckee	223924
tate	223816
church	223806
merritt	223394
vincent	222712
greer	222390
casey	221363
goodman	221168
steel	220888
sheppard	220619
morse	220280
barr	219581
bacon	219369
quinn	219309
hartman	219112
kent	218676
doyle	218633
archer	218549
lang	218457
rowland	218142
pool	217959
shields	217596
stout	216820
griffiths	216581
hooper	216318
abernathy	216280
gillespie	216005
blankenship	215970
house	215654
hendricks	215108
everett	214782
baird	214474
noble	214248
rich	214079
beasley	212817
mcdowell	212370
decker	211794
bullock	211738
brady	211456
carson	211337
knapp	211261
mead	211114
paul	210912
boyer	210452
logan	210298
middleton	210124
tanner	209959
huff	209581
mcintyre	209575
merrill	209402
henson	208586
parish	208459
richard	208367
melton	208268
dodd	207978
mcfarland	207497
hines	207333
keith	207022
johns	206652
hatfield	206227
giles	205733
jarvis	205094
gentry	204211
kendall	204174
bradshaw	203860
grimes	203712
sellers	203507
floyd	202434
bolton	202158
lowery	201386
sargent	201274
wills	201239
willson	201128
estes	200952
hartley	200865
hensley	200851
orr	200621
pittman	200189
strong	200125
hampton	199931
beach	199635
park	198021
hyde	197119
mcintosh	197076
stafford	197045
holden	196972
coffey	196519
pruitt	196388
mcclain	196124
carlson	196073
shepard	195385
faulkner	195199
patrick	195047
blackwell	194524
roach	194237
mcpherson	194220
tuttle	193809
dickson	193793
winter	193012
gross	192478
hodge	192454
best	192023
ware	191165
wiley	190688
hickman	190631
mcleod	190083
duke	190060
christensen	189865
sharpe	189769
lowry	189509
potts	189418
lancaster	189397
proctor	188780
meadows	187992
malone	187642
olsen	187443
finch	187189
lindsay	187147
welsh	186982
hess	186946
conley	186861
pitts	186810
erickson	186745
barlow	186337
bray	186302
gilmore	185998
irwin	185488
knowles	185222
flowers	185222
lester	184865
whitney	184821
hogan	184807
harrell	184007
mathis	183217
livingston	182772
browne	182742
dodson	182630
roberson	182456
houston	181833
glenn	181455
ashley	180967
english	180638
pugh	179834
burch	179556
vance	179496
horne	179495
stark	179473
barnard	179397
burt	178812
mccullough	178503
daugherty	178369
newell	177821
pike	177785
christian	177527
humphreys	177432
metcalf	177148
cantrell	176756
mueller	176599
frank	176586
waller	176434
galloway	176258
sloan	176167
slater	175770
durham	175661
downs	175602
groves	175013
dickerson	174909
cowan	174835
carver	174587
bauer	174208
oconnor	173891
mcallister	173745
dillon	173631
holcomb	173561
winters	173522
oneal	172417
schroeder	172173
riggs	171996
simons	171556
lord	171535
callahan	171497
aldridge	171399
dale	171174
cotton	171015
maynard	171011
webber	170932
anthony	170804
gallagher	170427
klein	170268
england	170151
butcher	169931
good	169914
burk	169693
farrell	169593
fischer	169535
riddle	169492
fish	169455
flynn	169451
compton	169348
sears	169302
pritchard	169285
dudley	168888
petersen	168703
ellison	168598
farley	168026
mccall	167663
bassett	167638
abbot	167532
ayres	167485
sweeney	167405
hopper	167071
clay	166922
andrew	166705
shoemaker	166625
godfrey	166531
randolph	166447
kinney	166065
small	165954
camp	165909
lake	165891
emery	165458
harman	164812
mercer	164793
prince	164767
tomlinson	164726
guthrie	164642
roy	164591
chappell	164495
law	164481
sanford	164445
finley	164235
wiggins	164138
odell	164016
herring	163979
abel	163782
sexton	163706
hutchins	163620
holman	163556
swan	163553
whittaker	163358
blanchard	163357
haley	163353
kline	163086
hilton	162754
walls	162700
petty	162681
burrows	162635
emerson	162609
buckley	162522
babcock	162363
calhoun	162097
benton	162064
bower	161895
bull	161743
denton	161518
hastings	161447
britton	161446
nixon	161308
cooley	161306
shafer	160965
monroe	160841
connor	160785
sampson	160544
knox	160309
mays	160289
coates	159988
oneill	159865
cleveland	159839
hutchison	159724
larsen	159554
pierson	159441
davison	159017
key	158931
hendrix	158695
pollard	158625
russel	158581
robins	158516
bennet	158335
locke	157733
hatch	157715
kimball	157683
pettit	157529
mcginnis	157516
hayden	157452
swanson	157113
mcneil	156792
goff	156707
richmond	156503
story	156499
barron	156275
wilkerson	156259
wallis	156080
farris	156015
thorpe	155866
rush	155812
gay	155717
crosby	155399
oneil	155386
seymour	155357
stanton	154883
sweet	154811
cummins	154499
nicholls	154449
bowles	154447
ritchie	154389
swain	154173
grey	153949
conrad	153930
john	153503
maddox	153076
marks	152959
roe	152897
spence	152860
biggs	152585
michael	152582
moran	152427
ewing	152419
head	152273
woodard	152033
sutherland	151927
starr	151709
ferrell	151687
greenwood	151684
arthur	151588
bright	151448
childers	151383
mcmahon	151320
pace	150911
dunlap	150879
akers	150807
lynn	150644
rankin	150177
fraser	150169
gibbons	149898
washburn	149700
blevins	149439
tracy	149320
downing	149269
alford	149268
smart	149070
shannon	149015
barry	148921
robison	148872
keen	148775
glass	148676
paine	148615
frye	148503
sanderson	148329
clement	147968
allan	147858
terrell	147773
albright	147684
mccann	147592
humphries	147494
forbes	147310
hollingsworth	147161
bingham	147123
simms	146868
belcher	146662
langley	146165
dailey	146111
pickett	146088
rutherford	146033
ames	145951
goddard	145769
waggoner	145719
holbrook	145413
stiles	145116
dye	144913
spears	144543
kramer	144294
brewster	144119
kidd	144077
